,Unnamed: 0,einID,einStichtag,einRPOM,einEOM,strkey,Hausnummer_Zusatz,PLZ,einKLRG,Schulbezirk,einGebID,einWohnsitzart,Geschlecht,Religion,Staatange#1,Staatange#2,ADA,einGeburtstag,einAlter,einAlter_Monate,einZuzugsdatum,einZuzugsalter,einFamiliebestand,einPartner_geschlecht,einPartner_Staatangehörigkeit,einEhestaat
49187,49187,113505,2025-06-30,0,0,192,62,67059,14120814,730,0,40,1,oa,0,,1,2015-02-27,10,126,2015-02-27,10,1,9,998,9
99442,99442,126826,2025-06-30,0,0,507,73A,67069,22170212,520,0,40,1,rk,130,,3,1983-06-10,42,507,2016-12-04,8,2,2,130,3
125664,125664,46561,2025-06-30,0,0,677,5,67071,31161711,410,0,40,2,oa,0,,1,1941-05-17,84,1012,1970-10-07,54,3,9,998,9
142553,142553,63487,2025-06-30,0,0,76,78,67069,22140632,520,0,40,2,oa,0,,1,1968-02-02,57,691,2025-01-01,0,2,1,0,1
96669,96669,32758,2025-06-30,0,0,479,6,67063,15280121,630,0,40,2,ev,0,,1,1990-09-03,35,420,1990-09-03,35,2,1,0,1
83189,83189,110369,2025-06-30,0,0,400,13,67071,35121021,440,0,40,2,rk,0,152.0,2,2013-01-04,12,152,2013-01-04,12,1,9,998,9
25092,25092,160429,2025-06-30,0,0,1146,16,67059,11130331,110,0,40,1,oa,154,,3,1987-12-31,37,452,2019-12-19,5,2,2,154,3
53927,53927,112019,2025-06-30,0,0,220,24,67061,12430231,130,0,40,1,rk,0,,1,2009-10-06,15,191,2014-11-01,10,1,9,998,9
150623,150623,149954,2025-06-30,0,0,822,5,67063,13260811,720,0,40,1,oa,125,,3,2023-12-25,1,20,2023-12-25,1,1,9,998,9
172064,172064,67693,2025-06-30,0,0,939,83,67063,13260321,720,0,40,1,oa,0,,1,1988-07-21,37,445,2012-08-27,13,1,9,998,9
61101,61101,89553,2025-06-30,0,0,258,44,67071,31322413,430,0,40,1,oa,0,,1,1972-03-31,53,641,2000-01-01,25,2,2,0,1
47156,47156,141078,2025-06-30,0,0,182,22,67069,23440121,530,0,40,2,so,475,,3,1993-01-01,32,392,2020-04-01,5,2,1,475,3
119320,119320,81502,2025-06-30,0,0,636,85,67061,12340221,130,0,40,1,so,0,163.0,2,1956-01-05,69,836,1991-01-01,34,2,2,0,1
141387,141387,16508,2025-06-30,0,0,759,28,67067,41210721,330,0,40,2,ev,0,,1,1957-01-20,68,823,1957-01-20,68,2,1,0,1
6696,6696,39770,2025-06-30,0,0,1035,34,67063,15230331,610,0,40,1,oa,0,,1,1976-06-24,49,590,2024-09-01,1,2,2,442,2
35152,35152,33096,2025-06-30,0,0,137,38,67063,13170241,710,0,40,1,so,163,,3,1958-01-01,67,812,2019-05-07,6,2,2,998,9
143857,143857,78800,2025-06-30,0,0,777,39A,67071,31311111,420,0,40,1,rk,0,,1,1954-10-29,70,850,2025-01-01,0,2,2,0,1
111117,111117,85711,2025-06-30,0,0,589,45,67069,21221632,510,0,40,1,oa,0,152.0,2,2014-05-13,11,136,2014-05-13,11,1,9,998,9
39749,39749,146369,2025-06-30,0,0,149,26,67063,13150542,710,0,40,1,rk,165,121.0,3,2025-01-02,0,8,2025-01-02,0,1,9,998,9
53325,53325,20248,2025-06-30,0,0,216,97,67069,22141311,520,0,40,1,rk,0,,1,1959-04-03,66,797,1990-05-29,35,2,2,0,1
43786,43786,126798,2025-06-30,0,0,175,3,67069,23410621,530,0,40,1,oa,423,,3,2014-03-02,11,138,2016-01-26,9,5,9,998,9
136077,136077,48414,2025-06-30,0,0,731,14,67065,41140311,310,0,40,1,oa,0,,1,1945-08-03,80,961,1960-08-31,65,1,9,998,9
139853,139853,148286,2025-06-30,0,0,758,215,67061,12210321,120,0,40,2,oa,0,,1,1999-07-05,26,314,2022-03-01,3,1,9,998,9
81360,81360,68376,2025-06-30,0,0,390,11,67063,13250422,720,0,40,2,oa,0,,1,2009-06-19,16,194,2009-06-19,16,1,9,998,9
15544,15544,159806,2025-06-30,0,0,1097,107H,67065,51242322,220,0,40,1,oa,475,,3,1979-09-03,46,552,2024-02-20,1,5,9,998,9
36321,36321,155699,2025-06-30,0,0,142,22,67059,11220441,110,0,40,1,oa,0,163.0,2,2000-06-11,25,303,2021-05-15,4,1,9,998,9
43153,43153,26012,2025-06-30,0,0,172,29,67069,22160911,520,0,40,1,rk,0,,1,1988-07-12,37,446,1988-07-12,37,1,9,998,9
22072,22072,74221,2025-06-30,0,0,1135,10A,67065,41420621,240,0,40,2,oa,0,,1,1948-04-20,77,928,1948-04-20,77,3,9,998,9
102691,102691,79599,2025-06-30,0,0,546,17,67059,11130311,110,0,40,1,so,163,,3,1954-05-03,71,856,1980-06-06,45,2,2,163,3
38458,38458,161434,2025-06-30,0,0,146,24,67061,12220112,120,0,40,1,so,436,,3,1990-07-08,35,422,2020-08-25,5,1,9,998,9
114735,114735,87956,2025-06-30,0,0,605,62,67067,52130112,230,0,40,2,oa,0,,1,1968-01-23,57,691,1980-05-01,45,2,1,0,1
20500,20500,83687,2025-06-30,0,0,1117,21,67065,41120411,310,0,40,1,oa,0,163.0,2,2007-03-31,18,221,2007-03-31,18,1,9,998,9
112255,112255,53004,2025-06-30,0,0,595,12,67069,21110221,510,0,40,1,oa,0,,1,1952-04-11,73,881,1980-03-17,45,2,2,0,1
39517,39517,81337,2025-06-30,0,0,149,17,67063,13160221,710,0,40,1,rk,0,,1,1952-01-20,73,883,2007-05-01,18,3,9,998,9
130529,130529,119743,2025-06-30,0,0,702,29,67071,35110521,440,0,40,1,ev,0,,1,1932-11-28,92,1113,2023-11-10,1,2,2,0,1
121230,121230,31697,2025-06-30,0,0,657,49,67063,15210511,610,0,40,1,oa,0,,1,1995-01-07,30,368,1995-01-07,30,2,2,158,2
145023,145023,12085,2025-06-30,0,0,781,52,67069,21240811,510,0,40,1,ev,0,,1,1982-12-30,42,512,1982-12-30,42,2,2,0,1
158213,158213,139452,2025-06-30,0,0,85,23,67063,15220541,610,0,40,1,oa,475,,3,1988-01-01,37,452,2022-03-07,3,5,9,998,9
76431,76431,152381,2025-06-30,0,0,357,89A,67071,35130511,440,0,40,2,oa,170,,3,2021-06-28,4,50,2025-03-01,0,1,9,998,9
18751,18751,67771,2025-06-30,0,0,1107,3,67065,51320311,220,0,40,2,rk,137,,3,1980-07-04,45,542,2000-01-12,25,4,9,998,9
157048,157048,59853,2025-06-30,0,0,850,50,67063,13120341,710,0,40,2,oa,432,,3,1968-07-19,57,685,1998-05-03,27,4,9,998,9
96843,96843,64740,2025-06-30,0,0,481,9,67061,12310511,130,0,40,2,so,0,,1,1974-08-25,51,612,1979-07-01,46,2,1,163,2
102549,102549,114922,2025-06-30,0,0,545,77B,67067,52162541,230,0,40,2,rk,0,,1,1980-02-21,45,546,2015-11-01,9,2,1,0,1
123970,123970,14890,2025-06-30,0,0,674,166,67061,12280141,120,0,40,1,oa,0,,1,1985-08-24,40,480,2024-11-01,0,2,2,998,9
79764,79764,128377,2025-06-30,0,0,373,30,67069,21130632,510,0,40,2,oa,0,,1,1998-01-12,27,332,2019-02-14,6,1,9,998,9
146895,146895,35155,2025-06-30,0,0,792,30,67071,31350812,420,0,40,1,so,0,,1,1991-07-21,34,409,1991-07-21,34,2,2,0,1
171714,171714,109947,2025-06-30,0,0,939,30,67063,13160341,710,0,40,1,rk,0,,1,1987-05-04,38,460,2011-05-04,14,1,9,998,9
23743,23743,123135,2025-06-30,0,0,1141,46,67069,22170641,520,0,40,1,oa,0,,1,1994-08-09,31,373,2021-09-01,4,2,2,0,1
105119,105119,109019,2025-06-30,0,0,554,3,67063,13120311,710,0,40,1,oa,0,438.0,2,2012-02-01,13,163,2012-02-01,13,1,9,998,9
35367,35367,95960,2025-06-30,0,0,137,67,67059,13271211,720,0,40,1,oa,0,,1,1971-10-11,53,647,2010-10-01,14,2,2,476,2
7602,7602,36464,2025-06-30,0,0,1044,10,67067,41110622,310,0,40,1,so,0,,1,1993-11-28,31,381,1993-11-28,31,1,9,998,9
97260,97260,100836,2025-06-30,0,0,482,9,67069,21111121,510,0,40,2,ev,0,,1,2008-06-10,17,207,2008-06-10,17,1,9,998,9
146731,146731,41005,2025-06-30,0,0,792,14,67071,31350811,420,0,40,2,oa,0,,1,1999-10-08,25,311,1999-10-08,25,1,9,998,9
153676,153676,13144,2025-06-30,0,0,839,33,67063,15240111,610,0,40,2,ev,0,,1,2006-09-07,19,228,2024-02-22,1,1,9,998,9
178913,178913,740,2025-06-30,0,0,981,14A,67063,13150241,720,0,40,1,oa,0,,1,1952-03-27,73,881,1952-03-27,73,1,9,998,9
460,460,154804,2025-06-30,0,0,1003,15,67063,15241211,610,0,40,1,oa,0,,1,2002-02-26,23,282,2023-04-03,2,1,9,998,9
7717,7717,84300,2025-06-30,0,0,1044,22,67067,41110523,310,0,40,2,rk,152,,3,1973-03-07,52,630,1994-05-01,31,4,9,998,9
59953,59953,41102,2025-06-30,0,0,254,4,67067,42162321,320,0,40,1,rk,0,137.0,2,2007-11-08,17,214,2009-10-21,15,1,9,998,9
26800,26800,9245,2025-06-30,0,0,1157,54A,67065,41410321,240,0,40,1,ev,0,,1,1983-03-31,42,509,1983-03-31,42,2,2,0,1
155069,155069,11569,2025-06-30,0,0,847,8,67069,23440312,530,0,40,2,oa,0,,1,1965-12-27,59,716,1989-05-17,36,3,9,998,9
46536,46536,130450,2025-06-30,0,0,180,12,67067,41320413,240,0,40,1,oa,137,,3,1962-08-20,63,756,2015-09-01,10,2,2,137,3
160012,160012,115170,2025-06-30,0,0,871,129,67065,51320321,220,0,40,1,so,423,,3,1983-01-01,42,512,2015-10-13,9,5,9,998,9
81907,81907,105223,2025-06-30,0,0,393,7,67063,13240211,720,0,40,1,oa,137,,3,1964-07-17,61,734,2010-08-04,15,2,2,137,3
49101,49101,158847,2025-06-30,0,0,192,54,67059,14120813,730,0,40,2,rk,154,,3,1998-04-28,27,328,2021-09-01,4,1,9,998,9
58737,58737,134210,2025-06-30,0,0,248,7,67065,51350521,220,0,40,1,oa,475,,3,2013-05-22,12,147,2019-06-25,6,5,9,998,9
79665,79665,127111,2025-06-30,0,0,372,16,67071,31161121,410,0,40,1,so,0,144.0,2,2013-11-04,11,142,2016-04-01,9,1,9,998,9
61038,61038,56422,2025-06-30,0,0,258,11,67071,31322711,430,0,40,1,oa,0,,1,1958-09-28,66,803,1958-09-28,66,2,2,0,1
24162,24162,34962,2025-06-30,0,0,1144,135A,67065,51221211,240,0,40,1,oa,0,152.0,2,1990-09-21,34,419,1997-11-01,27,2,2,0,1
142480,142480,160643,2025-06-30,0,0,76,37,67069,22130111,520,0,40,1,oa,0,,1,1960-08-26,65,780,2023-01-01,2,1,9,998,9
154094,154094,110469,2025-06-30,0,0,841,25,67071,31330521,420,0,40,1,rk,0,,1,2014-08-31,11,132,2014-08-31,11,1,9,998,9
46452,46452,132002,2025-06-30,0,0,17,9,67071,31140721,410,0,40,2,oa,0,,1,1961-05-07,64,772,2015-12-01,9,2,1,0,1
44958,44958,59749,2025-06-30,0,0,179,11,67059,14120912,730,0,40,2,ev,0,,1,1966-05-01,59,712,1966-05-01,59,2,1,0,1
44533,44533,27210,2025-06-30,0,0,175,7,67069,23410621,530,0,40,2,oa,0,,1,1985-11-20,39,477,2009-02-01,16,1,9,998,9
164701,164701,30303,2025-06-30,0,0,897,15,67063,13230121,720,0,40,2,so,163,,3,1965-12-20,59,716,2025-01-01,0,2,1,163,3
65234,65234,150495,2025-06-30,0,0,285,10,67063,15260131,610,0,40,1,oa,168,,3,1995-08-24,30,360,2023-05-01,2,1,9,998,9
156521,156521,152564,2025-06-30,0,0,850,23,67063,13130522,710,0,40,1,so,0,163.0,2,2006-01-17,19,236,2021-05-01,4,1,9,998,9
48230,48230,143948,2025-06-30,0,0,185,33,67069,21110511,510,0,40,1,oa,165,,3,1972-12-27,52,632,2025-05-18,0,5,9,998,9
150978,150978,53749,2025-06-30,0,0,827,22,67061,12220231,120,0,40,1,oa,0,438.0,2,1994-06-12,31,375,2024-03-01,1,2,2,0,1
170079,170079,42857,2025-06-30,0,0,926,2,67067,41140341,310,0,40,1,ev,0,,1,1989-11-15,35,430,1989-11-15,35,1,9,998,9
166796,166796,49569,2025-06-30,0,0,907,95,67061,12250411,120,0,40,1,oa,0,,1,1973-03-04,52,630,1973-03-04,52,4,9,998,9
163901,163901,22314,2025-06-30,0,0,896,43,67063,13150211,720,0,40,2,oa,121,,3,1978-01-03,47,572,2010-03-01,15,2,1,0,2
118369,118369,27067,2025-06-30,0,0,629,65,67069,21220641,510,0,40,2,oa,0,,1,1964-08-29,61,732,1964-08-29,61,1,9,998,9
43148,43148,5129,2025-06-30,0,0,172,29,67069,22160911,520,0,40,1,ev,0,,1,1940-01-24,85,1027,2025-01-01,0,2,2,0,1
35113,35113,37549,2025-06-30,0,0,137,36,67063,13170241,710,0,40,2,so,163,,3,1977-09-09,48,576,2025-01-01,0,2,1,0,2
56812,56812,18910,2025-06-30,0,0,236,13,67065,51390521,220,0,40,1,so,137,,3,1956-03-25,69,833,2025-01-01,0,2,2,137,3
164359,164359,64927,2025-06-30,0,0,896,92,67063,13260631,720,0,40,1,oa,0,,1,1972-09-03,53,636,2002-07-31,23,4,9,998,9
10680,10680,10321,2025-06-30,0,0,1067,17,67059,14130341,730,0,40,2,oa,0,460.0,2,2006-08-03,19,229,2006-08-03,19,1,9,998,9
77352,77352,147093,2025-06-30,0,0,363,14,67063,13120431,710,0,40,2,so,438,,3,1995-02-16,30,367,2022-06-05,3,2,1,0,2
61020,61020,130500,2025-06-30,0,0,257,9,67067,52121911,230,0,40,2,rk,137,,3,1985-08-14,40,481,2018-06-04,7,5,9,998,9
98567,98567,27352,2025-06-30,0,0,496,10,67065,42102031,320,0,40,1,oa,0,,1,1964-10-14,60,731,1964-10-14,60,2,2,998,9
175854,175854,97875,2025-06-30,0,0,962,9,67061,12340921,130,0,40,2,oa,0,163.0,2,1976-07-01,49,590,2004-08-28,21,2,1,0,1
180177,180177,12416,2025-06-30,0,0,989,30,67059,14120331,730,0,40,2,ev,0,,1,1944-07-15,81,974,1982-04-01,43,4,9,998,9
83147,83147,74689,2025-06-30,0,0,3,12,67061,12430631,130,0,40,1,rk,0,,1,1941-09-06,84,1008,1969-01-02,56,3,9,998,9
145782,145782,171562,2025-06-30,0,0,788,55,67065,51320811,220,0,40,2,oa,125,,3,1967-08-16,58,697,2025-04-01,0,5,9,998,9
74,74,68266,2025-06-30,0,0,1001,3,67063,15130521,620,0,40,2,rk,130,,3,2002-11-16,22,274,2013-10-17,11,1,9,998,9
176018,176018,12297,2025-06-30,0,0,963,48,67063,15250341,610,0,40,1,oa,0,,1,1984-11-13,40,490,1984-11-13,40,1,9,998,9
135058,135058,44557,2025-06-30,0,0,727,12,67065,51390331,220,0,40,1,oa,0,,1,1969-09-27,55,671,2015-09-01,10,4,9,998,9
651,651,154939,2025-06-30,0,0,1004,27,67071,31321711,430,0,40,2,oa,144,,3,2003-08-11,22,265,2024-02-05,1,2,1,0,2
22010,22010,137809,2025-06-30,0,0,1134,3,67063,13250151,720,0,40,1,oa,0,,1,1983-09-25,41,503,2022-05-08,3,1,9,998,9
98892,98892,14597,2025-06-30,0,0,503,41,67065,42101713,320,0,40,1,oa,137,,3,1987-07-06,38,458,1987-07-06,38,2,2,137,3
117759,117759,82923,2025-06-30,0,0,625,33,67061,12260211,120,0,40,1,oa,0,,1,1961-01-31,64,775,2025-01-01,0,2,2,0,1
40165,40165,16453,2025-06-30,0,0,14,10,67071,31310231,420,0,40,2,ev,0,,1,1977-03-23,48,581,1977-03-23,48,2,1,137,2
13052,13052,62441,2025-06-30,0,0,1079,38,67063,15250141,610,0,40,1,rk,137,,3,1967-10-22,57,694,2025-01-01,0,2,2,137,3
105576,105576,157947,2025-06-30,0,0,554,85,67063,13160212,710,0,40,1,so,125,,3,1987-01-20,38,463,2021-05-26,4,2,2,125,3
82757,82757,165040,2025-06-30,0,0,396,77,67063,13150121,720,0,40,2,so,166,,3,1965-12-20,59,716,2025-02-10,0,5,9,998,9
149878,149878,98290,2025-06-30,0,0,813,47,67071,35121132,440,0,40,1,oa,0,,1,2005-06-08,20,243,2005-06-08,20,1,9,998,9
47278,47278,28418,2025-06-30,0,0,182,26,67069,23440123,530,0,40,1,rk,0,,1,1946-08-07,79,949,2012-05-15,13,4,9,998,9
129772,129772,80508,2025-06-30,0,0,698,1,67059,11150411,110,0,40,2,ev,0,283.0,2,1965-02-02,60,727,1993-01-14,32,2,1,0,1
157700,157700,118384,2025-06-30,0,0,858,10,67065,52110411,230,0,40,1,oa,439,,3,1985-01-07,40,488,2016-07-28,9,5,9,998,9
36728,36728,102775,2025-06-30,0,0,142,45,67059,11230221,110,0,40,2,oa,163,,3,1990-03-17,35,426,2008-10-15,16,2,1,0,2
58004,58004,20724,2025-06-30,0,0,246,67,67071,31460111,430,0,40,1,oa,0,,1,1982-12-22,42,512,1983-10-11,41,2,2,0,1
42699,42699,67568,2025-06-30,0,0,169,16,67063,15220741,610,0,40,1,oa,0,163.0,2,2009-06-25,16,194,2009-06-25,16,1,9,998,9
74435,74435,1895,2025-06-30,0,0,349,27,67071,31170821,410,0,40,2,rk,137,,3,1933-11-23,91,1101,1969-09-05,56,2,1,137,3
68418,68418,73642,2025-06-30,0,0,30,4E,67071,31420121,420,0,40,2,rk,137,,3,1946-05-18,79,951,2025-01-01,0,3,9,998,9
80146,80146,166720,2025-06-30,0,0,378,14,67069,22161211,520,0,40,2,oa,0,,1,2025-04-04,0,5,2025-04-04,0,1,9,998,9
50476,50476,86333,2025-06-30,0,0,199,2,67063,13130651,710,0,40,1,oa,0,,1,1961-06-27,64,770,1984-12-31,40,3,9,998,9
50530,50530,138456,2025-06-30,0,0,199,2,67063,13130651,710,0,40,1,oa,152,,3,1997-01-31,28,343,2019-08-01,6,1,9,998,9
125734,125734,15793,2025-06-30,0,0,67,19,67063,15810413,630,0,40,1,oa,0,,1,1950-07-11,75,902,1982-11-02,42,2,2,0,1
181516,181516,141597,2025-06-30,0,0,9,150,67071,31711231,430,0,40,2,oa,0,,1,2019-05-02,6,76,2019-05-02,6,1,9,998,9
57795,57795,85604,2025-06-30,0,0,246,25,67071,31410611,420,0,40,1,oa,0,,1,2006-02-15,19,235,2006-02-15,19,1,9,998,9
164944,164944,77037,2025-06-30,0,0,898,31,67061,12310221,130,0,40,2,oa,125,,3,1966-05-31,59,711,2008-04-01,17,3,9,998,9
3009,3009,37432,2025-06-30,0,0,1015,9,67071,31480915,430,0,40,2,ev,0,,1,1972-10-28,52,634,1972-10-28,52,1,9,998,9
163603,163603,64744,2025-06-30,0,0,896,117,67063,13170115,720,0,40,1,oa,0,438.0,2,1972-07-01,53,638,2003-03-03,22,2,2,0,1
136014,136014,137069,2025-06-30,0,0,730,2,67067,41150931,310,0,40,1,rk,130,,3,1980-09-07,45,540,2018-08-01,7,2,2,998,9
139832,139832,116488,2025-06-30,0,0,758,215,67061,12210321,120,0,40,2,oa,0,423.0,2,1990-12-01,34,417,2016-06-01,9,2,1,0,1
91102,91102,80401,2025-06-30,0,0,448,52,67063,13230331,720,0,40,2,oa,163,,3,1975-06-20,50,602,2006-01-31,19,2,1,163,3
128822,128822,179337,2025-06-30,0,0,696,135,67063,15150511,630,0,40,1,oa,0,,1,2022-10-14,2,35,2024-01-01,1,1,9,998,9
40651,40651,148163,2025-06-30,0,0,157,22,67067,52122113,230,0,40,1,oa,0,150.0,2,2022-12-21,2,32,2022-12-21,2,1,9,998,9
1348,1348,174851,2025-06-30,0,0,100,15,67059,11130261,110,0,40,1,oa,163,,3,1993-09-21,31,383,2025-03-31,0,1,9,998,9
128607,128607,6690,2025-06-30,0,0,696,10,67063,15160631,620,0,40,1,oa,0,163.0,2,2008-03-14,17,210,2008-03-14,17,1,9,998,9
16083,16083,3536,2025-06-30,0,0,109,67,67059,14140621,730,0,40,1,so,170,,3,1977-12-10,47,573,2013-02-28,12,2,2,170,3
174827,174827,12954,2025-06-30,0,0,954,8,67063,13230441,720,0,40,2,oa,0,368.0,2,1999-05-07,26,316,1999-05-07,26,1,9,998,9
10307,10307,33416,2025-06-30,0,0,1064,12,67071,31421331,420,0,40,2,so,0,444.0,2,1986-06-14,39,471,2009-08-01,16,2,1,0,1
148773,148773,130185,2025-06-30,0,0,804,4,67059,11140642,110,0,40,1,oa,475,,3,1999-01-30,26,319,2016-09-08,9,5,9,998,9
150638,150638,69644,2025-06-30,0,0,822,7,67063,13260811,720,0,40,1,rk,137,,3,2010-09-20,14,179,2012-06-01,13,1,9,998,9
63845,63845,68120,2025-06-30,0,0,275,50,67071,35111241,440,0,40,1,oa,0,,1,1980-08-16,45,541,1997-03-11,28,2,2,0,1
161410,161410,69271,2025-06-30,0,0,883,27,67061,12130841,210,0,40,1,oa,0,252.0,2,2007-06-25,18,218,2007-06-25,18,1,9,998,9
32593,32593,123856,2025-06-30,0,0,1267,7,67065,51221231,240,0,40,2,oa,0,,1,1986-08-02,39,469,2017-12-22,7,2,1,436,2
40246,40246,54063,2025-06-30,0,0,14,7,67071,31310321,420,0,40,2,rk,0,,1,1987-01-17,38,464,1989-10-11,35,2,1,130,2
126984,126984,57060,2025-06-30,0,0,686,2A,67071,31920221,420,0,40,1,rk,0,152.0,2,2005-11-17,19,238,2005-11-17,19,1,9,998,9
39882,39882,163106,2025-06-30,0,0,149,36,67063,13150441,720,0,40,1,rk,436,,3,1999-11-30,25,309,2024-03-26,1,2,2,436,3
48991,48991,101043,2025-06-30,0,0,192,42,67059,14120812,730,0,40,1,oa,163,,3,1970-03-02,55,666,2007-09-18,17,2,2,0,2
81331,81331,47883,2025-06-30,0,0,38,9,67063,15241321,610,0,40,2,ev,0,,1,1942-10-15,82,995,2025-01-01,0,2,1,0,1
68901,68901,166913,2025-06-30,0,0,312,6,67061,12110322,210,0,40,1,oa,0,,1,1978-08-26,47,564,2023-09-01,2,1,9,998,9
86092,86092,180537,2025-06-30,0,0,420,66,67061,12210121,120,0,40,1,oa,436,,3,2022-11-02,2,34,2022-11-02,2,1,9,998,9
167472,167472,143142,2025-06-30,0,0,914,6,67069,22150911,520,0,40,1,oa,475,,3,1997-03-16,28,342,2022-03-22,3,5,9,998,9
51053,51053,96198,2025-06-30,0,0,203,107,67071,31152221,410,0,40,2,rk,0,152.0,2,1974-09-08,51,612,2004-06-21,21,2,1,0,1
97920,97920,22548,2025-06-30,0,0,486,69,67069,21141131,510,0,40,2,oa,0,,1,1953-10-16,71,863,1996-01-08,29,2,1,0,1
13625,13625,48735,2025-06-30,0,0,1086,12,67059,14130631,730,0,40,2,oa,0,,1,1943-09-26,81,983,1971-01-22,54,2,9,998,9
43376,43376,61106,2025-06-30,0,0,174,22,67069,22130711,520,0,40,1,ev,0,,1,1967-09-09,58,696,1989-01-28,36,2,2,0,1
71369,71369,104461,2025-06-30,0,0,330,73,67067,52121731,230,0,40,1,oa,154,,3,1988-06-15,37,447,2014-06-18,11,2,2,998,9
81830,81830,131337,2025-06-30,0,0,393,34,67063,13250531,720,0,40,1,ev,0,,1,2014-05-31,11,135,2015-08-01,10,1,9,998,9
97100,97100,35773,2025-06-30,0,0,482,48,67069,21131211,510,0,40,2,rk,137,122.0,3,1993-02-20,32,390,1994-06-08,31,1,9,998,9
143794,143794,126847,2025-06-30,0,0,777,27,67071,31311211,420,0,40,1,so,154,,3,2002-01-06,23,284,2016-12-02,8,2,2,154,3
45212,45212,91702,2025-06-30,0,0,179,6,67059,14120721,730,0,40,2,oa,0,232.0,2,1979-09-27,45,551,2009-12-10,15,4,9,998,9
37434,37434,175905,2025-06-30,0,0,145,45,67059,11140421,110,0,40,2,so,475,,3,2013-01-01,12,152,2022-07-01,3,1,9,998,9
83366,83366,143640,2025-06-30,0,0,402,20,67069,21221521,510,0,40,1,oa,0,134.0,2,1997-10-08,27,335,2025-03-30,0,2,2,0,1
175488,175488,24028,2025-06-30,0,0,960,103,67065,41430711,240,0,40,2,oa,0,,1,1961-07-28,64,769,1989-08-01,36,1,9,998,9
