,Unnamed: 0,einID,einStichtag,einRPOM,einEOM,strkey,Hausnummer_Zusatz,PLZ,einKLRG,Schulbezirk,einGebID,einWohnsitzart,Geschlecht,Religion,Staatange#1,Staatange#2,ADA,einGeburtstag,einAlter,einAlter_Monate,einZuzugsdatum,einZuzugsalter,einFamiliebestand,einPartner_geschlecht,einPartner_Staatangehörigkeit,einEhestaat
148800,148800,144103,2025-06-30,0,0,804,4,67059,11140642,110,0,40,1,ev,0,,1,2000-01-20,25,307,2025-03-01,0,1,9,998,9
59181,59181,65828,2025-06-30,0,0,250,33,67063,15270113,610,0,40,1,oa,0,,1,1971-09-24,53,647,1990-10-08,34,1,9,998,9
148591,148591,176538,2025-06-30,0,0,804,2,67059,11140641,110,0,40,2,oa,438,,3,1985-07-05,40,482,2023-04-24,2,2,1,0,2
51890,51890,145919,2025-06-30,0,0,206,22,67071,31450212,430,0,40,1,oa,0,,1,1978-01-14,47,572,2023-03-01,2,4,9,998,9
158372,158372,85293,2025-06-30,0,0,85,8,67063,15220421,610,0,40,1,oa,0,163.0,2,2014-04-25,11,136,2014-04-25,11,1,9,998,9
96036,96036,10753,2025-06-30,0,0,475,94,67063,15231041,610,0,40,2,oa,0,,1,1979-10-20,45,550,1982-01-01,43,4,9,998,9
140230,140230,179145,2025-06-30,0,0,758,237,67061,12210222,120,0,40,2,oa,475,,3,2021-06-10,4,51,2021-06-10,4,1,9,998,9
40870,40870,79987,2025-06-30,0,0,159,39,67067,41130711,310,0,40,2,oa,0,,1,1957-05-30,68,819,2025-01-01,0,2,1,0,1
173091,173091,32489,2025-06-30,0,0,948,36A,67071,31330731,420,0,40,2,rk,0,154.0,2,1990-08-14,35,421,1992-12-01,32,2,1,0,1
102915,102915,28897,2025-06-30,0,0,546,35,67059,11140512,110,0,40,2,oa,0,,1,1993-10-25,31,382,1993-10-25,31,1,9,998,9
10632,10632,163167,2025-06-30,0,0,1067,13,67059,14130131,730,0,40,2,oa,0,,1,2006-02-11,19,235,2023-06-05,2,1,9,998,9
113666,113666,45636,2025-06-30,0,0,5,9,67071,31430611,430,0,40,2,oa,163,,3,1940-01-18,85,1027,2025-01-01,0,3,9,998,9
156697,156697,107771,2025-06-30,0,0,850,32,67063,13120441,710,0,40,2,oa,0,144.0,2,2011-04-03,14,173,2011-04-03,14,1,9,998,9
117872,117872,15642,2025-06-30,0,0,625,42,67061,12250531,120,0,20,1,ev,0,,1,1986-09-07,39,468,2003-01-12,22,1,9,998,9
6497,6497,69371,2025-06-30,0,0,1034,24,67067,41240242,330,0,40,1,oa,0,353.0,2,1999-08-20,26,312,2007-09-23,17,1,9,998,9
73244,73244,143442,2025-06-30,0,0,341,20,67069,21130112,510,0,40,1,oa,432,,3,2001-08-14,24,289,2024-09-01,1,1,9,998,9
145081,145081,125259,2025-06-30,0,0,782,28,67071,31180911,410,0,40,2,rk,130,,3,2019-01-02,6,80,2019-01-02,6,1,9,998,9
100706,100706,141706,2025-06-30,0,0,530,12,67063,13130631,710,0,40,2,oa,125,,3,2019-11-13,5,70,2019-12-15,5,1,9,998,9
128540,128540,18986,2025-06-30,0,0,691,87,67065,41420511,240,0,40,2,oa,0,,1,1987-09-26,37,455,2023-07-22,2,2,1,0,1
174646,174646,24366,2025-06-30,0,0,954,17,67063,13230322,720,0,40,2,oa,0,,1,1999-11-09,25,310,1999-11-09,25,1,9,998,9
45317,45317,126748,2025-06-30,0,0,17,105,67071,31160611,410,0,40,1,oa,479,,3,1982-11-24,42,513,2016-04-25,9,1,9,998,9
9258,9258,121531,2025-06-30,0,0,1057,74A,67069,22120411,520,0,40,2,oa,0,,1,1982-12-05,42,513,2017-10-30,7,2,1,0,1
142046,142046,3958,2025-06-30,0,0,762,69,67065,41420411,240,0,40,2,rk,0,,1,1979-08-22,46,552,2006-10-01,18,2,1,170,2
68004,68004,26120,2025-06-30,0,0,305,10,67069,22120641,520,0,40,1,oa,161,,3,1962-04-01,63,761,2025-01-01,0,2,2,161,3
134676,134676,152052,2025-06-30,0,0,722,99,67065,51240511,220,0,40,1,oa,130,,3,1979-01-19,46,559,2023-11-08,1,5,9,998,9
161744,161744,41445,2025-06-30,0,0,883,41,67061,12130931,210,0,40,2,oa,0,,1,1981-09-25,43,527,2009-11-01,15,2,1,441,2
151655,151655,148133,2025-06-30,0,0,829,25,67071,35110721,440,0,40,2,oa,125,,3,2009-08-22,16,192,2022-11-10,2,1,9,998,9
21233,21233,58319,2025-06-30,0,0,1126,12,67069,21120721,510,0,40,2,oa,0,,1,1966-03-14,59,714,1966-03-14,59,2,1,0,1
104245,104245,111763,2025-06-30,0,0,550,123,67065,41410212,240,0,40,1,so,134,,3,1981-01-02,44,536,2014-08-11,11,2,2,134,3
58373,58373,134547,2025-06-30,0,0,247,83,67067,41311211,240,0,40,1,rk,0,137.0,2,2019-02-19,6,78,2019-02-19,6,1,9,998,9
59246,59246,7712,2025-06-30,0,0,250,4,67063,15260431,610,0,40,2,oa,0,,1,1945-06-08,80,963,1945-06-08,80,4,9,998,9
101518,101518,150629,2025-06-30,0,0,536,27,67069,21140931,510,0,40,1,oa,163,,3,2014-06-18,11,134,2020-07-01,5,1,9,998,9
78567,78567,93171,2025-06-30,0,0,368,6,67061,12130311,210,0,40,1,oa,0,154.0,2,2009-07-30,16,193,2011-01-21,14,1,9,998,9
60013,60013,79520,2025-06-30,0,0,254,7,67067,42162441,320,0,40,1,ev,0,,1,1956-12-08,68,825,2009-08-01,16,2,2,0,1
169348,169348,36398,2025-06-30,0,0,924,56,67061,51510111,210,0,40,1,oa,163,,3,1998-01-05,27,332,1998-01-05,27,1,9,998,9
143329,143329,14768,2025-06-30,0,0,773,8,67067,42142211,320,0,40,1,oa,0,,1,1976-12-26,48,584,1976-12-26,48,2,2,0,1
114432,114432,32209,2025-06-30,0,0,602,68,67067,41210622,330,0,40,2,oa,0,,1,2011-07-12,14,170,2011-07-12,14,1,9,998,9
21391,21391,33625,2025-06-30,0,0,1127,33,67071,31161621,410,0,40,2,oa,0,,1,1967-05-18,58,699,2008-03-31,17,2,1,0,1
120327,120327,156479,2025-06-30,0,0,64,4,67059,11140331,110,0,40,1,oa,252,,3,1975-08-14,50,601,2024-10-28,0,5,9,998,9
129036,129036,13262,2025-06-30,0,0,696,172,67063,15150123,630,0,40,1,oa,0,,1,1983-01-25,42,511,2007-05-01,18,2,2,0,1
115196,115196,102426,2025-06-30,0,0,609,32,67067,52141211,230,0,40,2,oa,152,,3,1963-06-01,62,747,2008-07-01,17,2,1,998,9
71891,71891,147316,2025-06-30,0,0,336,3,67061,12330521,130,0,40,2,rk,0,,1,1995-01-30,30,367,2023-07-01,2,2,1,436,2
79769,79769,94934,2025-06-30,0,0,373,4A,67069,21130541,510,0,40,1,ev,0,,1,1964-06-07,61,735,2004-02-01,21,3,9,998,9
133426,133426,75049,2025-06-30,0,0,722,15,67065,51320711,220,0,40,2,oa,0,,1,1953-12-24,71,860,1985-02-14,40,2,1,0,1
63763,63763,80900,2025-06-30,0,0,275,45,67071,35110921,440,0,40,1,oa,0,,1,1959-11-19,65,789,2000-12-22,24,2,2,0,1
56989,56989,118978,2025-06-30,0,0,240,1B,67065,51380311,220,0,40,1,ev,0,,1,1992-10-30,32,394,2025-05-01,0,1,9,998,9
4485,4485,88398,2025-06-30,0,0,1019,34,67063,15120831,620,0,40,1,so,0,163.0,2,2011-09-16,14,168,2014-05-05,11,1,9,998,9
58523,58523,27233,2025-06-30,0,0,248,11B,67065,51350421,220,0,40,1,ev,0,,1,1963-08-03,62,745,2017-05-29,8,4,9,998,9
77296,77296,140587,2025-06-30,0,0,363,11,67063,13130511,710,0,40,1,oa,238,,3,2012-03-22,13,161,2019-05-13,6,1,9,998,9
149412,149412,89202,2025-06-30,0,0,809,10,67069,23420311,530,0,40,2,rk,335,,3,1979-06-01,46,555,2025-01-01,0,2,1,0,2
55371,55371,83344,2025-06-30,0,0,226,1,67067,41150611,310,0,40,2,oa,0,,1,1965-10-08,59,719,1996-09-10,29,2,1,0,1
25985,25985,137965,2025-06-30,0,0,1147,28,67061,12310131,130,0,40,1,so,423,,3,1999-05-23,26,315,2019-08-01,6,1,9,998,9
154150,154150,159037,2025-06-30,0,0,841,39,67071,31410721,420,0,40,1,oa,0,129.0,2,1998-08-20,27,324,2024-09-30,0,1,9,998,9
74961,74961,85590,2025-06-30,0,0,353,11,67071,31450312,430,0,40,2,ev,0,,1,1964-03-25,61,737,2025-01-01,0,2,1,0,1
43220,43220,105577,2025-06-30,0,0,173,2,67067,52141011,230,0,40,2,rk,0,,1,1968-02-27,57,690,2010-09-10,15,2,1,0,1
72047,72047,122892,2025-06-30,0,0,338,13,67059,11230412,110,0,40,1,oa,163,,3,1992-04-23,33,400,2017-03-15,8,2,2,0,2
57188,57188,83814,2025-06-30,0,0,240,5A,67065,51380311,220,0,40,1,oa,0,163.0,2,2006-01-01,19,236,2006-01-01,19,1,9,998,9
31568,31568,61150,2025-06-30,0,0,125,13,67059,11160721,110,0,40,2,rk,152,,3,1980-01-20,45,547,2011-11-01,13,1,9,998,9
97120,97120,88609,2025-06-30,0,0,482,48,67069,21131211,510,0,40,1,rk,122,,3,1968-01-25,57,691,1994-06-08,31,2,2,137,3
171596,171596,27129,2025-06-30,0,0,939,23,67063,13170221,710,0,40,2,oa,163,,3,1966-01-10,59,716,2016-07-03,9,2,1,163,3
21449,21449,154523,2025-06-30,0,0,1127,5A,67071,31161811,410,0,40,1,rk,0,152.0,2,2021-03-28,4,53,2021-03-28,4,1,9,998,9
149162,149162,73520,2025-06-30,0,0,807,11,67067,41240631,330,0,40,2,rk,0,,1,1942-05-02,83,1000,2025-01-01,0,3,9,998,9
106263,106263,31803,2025-06-30,0,0,560,135,67071,31140511,410,0,40,1,oa,0,,1,1966-07-25,59,709,2025-01-01,0,2,1,0,1
88044,88044,146201,2025-06-30,0,0,431,131,67067,52131021,230,0,40,1,oa,125,,3,1997-11-12,27,334,2025-04-23,0,1,9,998,9
96163,96163,23920,2025-06-30,0,0,476,4,67067,52150521,230,0,40,1,oa,0,,1,1993-03-09,32,390,2001-08-08,24,1,9,998,9
31798,31798,75080,2025-06-30,0,0,125,21B,67059,11160621,110,0,40,2,oa,0,163.0,2,2014-01-01,11,140,2014-01-01,11,1,9,998,9
50471,50471,61336,2025-06-30,0,0,199,2,67063,13130651,710,0,40,1,ev,0,,1,1991-09-11,34,408,2013-11-28,11,1,9,998,9
126534,126534,95217,2025-06-30,0,0,683,15,67071,35140711,440,0,40,1,oa,0,998.0,2,2003-06-28,22,266,2003-06-28,22,1,9,998,9
131617,131617,29296,2025-06-30,0,0,709,4,67059,14130241,730,0,40,2,ev,0,,1,1985-04-20,40,484,2019-10-01,5,1,9,998,9
153511,153511,142320,2025-06-30,0,0,838,73,67065,51211811,220,0,40,1,oa,0,134.0,2,2019-10-08,5,71,2019-10-08,5,1,9,998,9
39478,39478,114056,2025-06-30,0,0,149,16,67063,13150541,710,0,40,2,rk,125,,3,1988-01-22,37,451,2018-08-31,7,2,1,125,3
126093,126093,176438,2025-06-30,0,0,67,23,67063,15810514,630,0,40,1,oa,0,,1,2024-07-02,1,14,2024-07-02,1,1,9,998,9
113250,113250,58369,2025-06-30,0,0,59,33,67071,31130913,410,0,40,2,oa,0,,1,1980-06-12,45,543,1980-06-12,45,4,9,998,9
15622,15622,140981,2025-06-30,0,0,1097,122,67065,51210621,220,0,40,1,oa,423,,3,2012-05-18,13,159,2020-01-01,5,1,9,998,9
106129,106129,71212,2025-06-30,0,0,559,15,67067,52121411,230,0,40,2,ev,0,,1,1953-04-09,72,869,2007-07-15,18,4,9,998,9
144240,144240,63132,2025-06-30,0,0,779,28,67063,15240141,610,0,40,1,rk,0,130.0,2,2007-08-18,18,216,2007-08-18,18,1,9,998,9
122988,122988,2834,2025-06-30,0,0,666,9,67063,13140421,710,0,40,2,oa,0,163.0,2,2012-04-17,13,161,2012-04-17,13,1,9,998,9
99869,99869,182096,2025-06-30,0,0,517,42,67071,31490511,420,0,40,2,oa,166,,3,1983-06-24,42,506,2023-09-22,1,2,1,0,2
70050,70050,181553,2025-06-30,0,0,317,210,67059,14170113,730,0,40,1,oa,125,,3,1998-10-21,26,322,2022-10-12,2,1,9,998,9
177941,177941,147741,2025-06-30,0,0,972,24,67061,12410321,130,0,40,2,oa,0,368.0,2,2022-02-15,3,43,2022-09-12,3,1,9,998,9
123512,123512,51130,2025-06-30,0,0,672,21,67065,42101821,320,0,40,2,oa,0,,1,1953-10-29,71,862,1973-08-01,52,4,9,998,9
108307,108307,54486,2025-06-30,0,0,573,47,67065,41440313,240,0,40,2,rk,0,,1,1961-09-03,64,768,1961-09-03,64,2,1,0,1
53557,53557,78805,2025-06-30,0,0,219,22,67059,11160141,110,0,40,2,rk,0,,1,1959-11-12,65,790,2025-01-01,0,3,9,998,9
74729,74729,83610,2025-06-30,0,0,34,5,67071,31120521,410,0,40,2,ev,0,,1,1962-11-11,62,754,1962-11-27,62,2,1,0,1
9141,9141,76811,2025-06-30,0,0,1057,39,67069,22130531,520,0,40,1,oa,0,,1,1953-08-08,72,865,1953-08-08,72,1,9,998,9
31644,31644,50266,2025-06-30,0,0,125,17,67059,11160721,110,0,40,2,rk,0,,1,1956-01-05,69,836,1983-08-15,42,2,1,0,1
37826,37826,95959,2025-06-30,0,0,145,61,67059,11140321,110,0,40,2,ev,0,,1,1982-11-01,42,514,2004-05-01,21,4,9,998,9
129984,129984,71770,2025-06-30,0,0,698,2,67059,11150411,110,0,40,2,ev,0,,1,1941-03-13,84,1014,2025-01-01,0,2,1,0,1
82753,82753,159550,2025-06-30,0,0,396,77,67063,13150121,720,0,40,2,so,154,,3,1966-09-07,59,708,2024-04-01,1,5,9,998,9
90697,90697,103597,2025-06-30,0,0,446,1,67063,15160621,620,0,40,2,oa,163,,3,1987-01-22,38,463,2008-11-24,16,2,1,0,2
74228,74228,40302,2025-06-30,0,0,348,15,67069,21110911,510,0,40,2,oa,0,,1,1975-03-31,50,605,1999-08-01,26,3,9,998,9
149421,149421,107078,2025-06-30,0,0,809,10,67069,23420311,530,0,40,2,oa,0,,1,1948-06-14,77,927,2011-11-01,13,3,9,998,9
122539,122539,142090,2025-06-30,0,0,663,50,67067,41310132,240,0,40,1,oa,0,,1,2019-05-17,6,76,2019-05-17,6,1,9,998,9
146696,146696,78480,2025-06-30,0,0,792,10,67071,31350811,420,0,40,2,oa,0,137.0,2,1961-04-25,64,772,1997-10-12,27,3,9,998,9
167769,167769,71105,2025-06-30,0,0,917,5,67071,35110421,440,0,40,1,oa,0,,1,1967-04-19,58,700,1967-04-19,58,2,2,0,1
87304,87304,162383,2025-06-30,0,0,429,38,67063,13130441,710,0,40,1,oa,438,,3,2018-11-16,6,82,2022-04-01,3,1,9,998,9
104297,104297,89889,2025-06-30,0,0,550,125,67065,41410213,240,0,40,2,ev,0,,1,1970-08-28,55,660,2017-01-16,8,4,9,998,9
61735,61735,163995,2025-06-30,0,0,262,14,67069,21211121,510,0,40,2,oa,158,,3,1980-05-29,45,543,2024-05-23,1,1,9,998,9
181112,181112,165283,2025-06-30,0,0,9,103,67071,31470144,430,0,40,2,oa,0,137.0,2,2025-04-25,0,4,2025-04-25,0,1,9,998,9
103712,103712,138462,2025-06-30,0,0,546,9,67059,11130311,110,0,40,1,oa,423,,3,1999-03-21,26,317,2019-08-01,6,5,9,998,9
45944,45944,108575,2025-06-30,0,0,17,44,67071,31152321,410,0,40,1,oa,0,,1,1971-07-13,54,650,2012-11-26,12,2,2,0,1
51500,51500,35265,2025-06-30,0,0,203,64,67071,31151811,410,0,40,1,oa,0,,1,1969-03-29,56,677,2021-05-01,4,4,9,998,9
